_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5820,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,1.0,3.0,18,245,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4154821,NO,YES,NO,201  VAN HORNE AVE ,YES,FREE,17,DOUBLE PANE,1966.0,2017.0
5821,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,3.0,19,226,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,COMPTEN MANAGEMENT INC.,PRIVATE,4154823,NO,YES,NO,2600  DON MILLS RD ,YES,FREE,17,DOUBLE PANE,1971.0,2017.0
5822,NONE,Indoor recreation room,YES,YES,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,2.0,2.0,2.0,18,139,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154827,NO,NO,NO,175  SHAUGHNESSY BLVD ,YES,FREE,17,DOUBLE PANE,1968.0,2017.0
5823,NONE,Indoor exercise room,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,YES,NO,YES,NO,0.0,0.0,2.0,15,163,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,TMDL PROPERTY MANAGEMENT INC.,PRIVATE,4154829,NO,YES,NO,30  ESTERBROOKE AVE ,NO,FREE,17,DOUBLE PANE,1966.0,2017.0
5824,NONE,Outdoor pool,YES,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,0.0,2.0,13,155,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,NOVI PROPERTIES,PRIVATE,4154841,NO,YES,NO,10  RUDDINGTON DR ,YES,FREE,17,DOUBLE PANE,1967.0,2017.0
5825,INDIVIDUAL UNITS,Outdoor pool,YES,NO,16 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,0.0,10.0,2.0,18,107,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,SCHICKEDANZ BROS. PROPERTIES,PRIVATE,4154843,NO,YES,NO,70  RUDDINGTON DR ,YES,FREE,17,DOUBLE PANE,1986.0,2017.0
5826,CENTRAL AIR,Indoor recreation room,NO,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,8.0,1.0,2.0,11,112,NO,Surface Parking,YES,,SOCIAL HOUSING,4155931,NO,NO,NO,490  SHERBOURNE ST ,YES,FREE,13,DOUBLE PANE,2008.0,2017.0
5827,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,3.0,19,154,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4156337,NO,YES,NO,190  EXBURY RD ,YES,FREE,06,DOUBLE PANE,1970.0,2017.0
5828,CENTRAL AIR,Indoor exercise room,YES,YES,1 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,2.0,2.0,7,74,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4156642,NO,YES,NO,1751  SHEPPARD AVE E,YES,FREE,17,THERMAL,2010.0,2017.0
5829,NONE,,NO,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,32.0,2.0,11,136,NO,"Surface Parking , Parking Deck",YES,,SOCIAL HOUSING,4152978,NO,NO,NO,1355  KING ST W,NO,UNAVAILABLE,04,SINGLE PANE,1976.0,2017.0
5830,INDIVIDUAL UNITS,,YES,NO,12 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,9,66,NO,Underground Garage,YES,AKELIUS CANADA LTD,PRIVATE,4152982,NO,YES,NO,95  JAMESON AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1956.0,2018.0
5831,NONE,,YES,NO,10 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,5,111,NO,"Underground Garage , Ground Level Garage",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152996,NO,YES,NO,99  DOWLING AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1955.0,2017.0
5832,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,6.0,2.0,15,145,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN,TCHC,4153454,NO,NO,NO,145  MUTUAL ST ,YES,BOTH,13,DOUBLE PANE,1985.0,2017.0
5833,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,8.0,1.0,2.0,15,138,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4153457,NO,NO,NO,80  DUNDAS ST E,YES,UNAVAILABLE,13,DOUBLE PANE,1995.0,2017.0
5834,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,7,62,,,,,PRIVATE,4153468,,,,710  SPADINA AVE ,,,11,DOUBLE PANE,1959.0,
5835,INDIVIDUAL UNITS,Indoor recreation room,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,25,NO,,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153473,NO,NO,NO,172  CARLTON ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1988.0,2017.0
5836,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,55 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,375.0,0.0,4.0,23,375,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,WJ PROPERTIES,PRIVATE,4153476,NO,YES,NO,140  CARLTON ST ,YES,FREE,13,SINGLE PANE,1973.0,2017.0
5837,NONE,,YES,NO,0 indoor parking spots and 6 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,,,1.0,24,52,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4153967,NO,YES,NO,24  SHALLMAR BLVD ,NO,UNAVAILABLE,08,DOUBLE PANE,1960.0,2018.0
5838,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,8.0,3.0,2.0,9,125,NO,"Underground Garage , Garage accessible thru buildg",YES,G,SOCIAL HOUSING,4153977,NO,NO,NO,668  ROSELAWN AVE ,YES,FREE,08,DOUBLE PANE,1988.0,2017.0
5839,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,1.0,4,60,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154468,NO,YES,NO,170  SENTINEL RD ,YES,FREE,07,DOUBLE PANE,1967.0,2017.0
5840,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,4.0,22,370,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4154475,NO,NO,NO,35  FOUNTAINHEAD RD ,YES,FREE,07,DOUBLE PANE,1973.0,2017.0
5841,NONE,Outdoor pool,YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,4.0,22,370,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4154476,NO,NO,NO,1  FOUNTAINHEAD RD ,YES,FREE,07,DOUBLE PANE,1968.0,2017.0
5842,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,4.0,2.0,4.0,19,390,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4154479,NO,YES,NO,500  MURRAY ROSS PKWY ,YES,FREE,07,DOUBLE PANE,1978.0,2017.0
5843,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,117.0,13.0,3.0,14,117,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154481,NO,YES,NO,2900  BATHURST ST ,YES,FREE,08,DOUBLE PANE,1964.0,2017.0
5844,NONE,"Indoor exercise room , Child play area",YES,YES,18 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1.0,0.0,2.0,15,187,YES,"Underground Garage , Garage accessible thru buildg",YES,MEDALLION CORPORATION,PRIVATE,4154483,NO,NO,NO,120  SHELBORNE AVE ,YES,FREE,08,DOUBLE PANE,1965.0,2017.0
5845,NONE,,YES,YES,6 indoor parking spots and 6 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,43,NO,"Underground Garage , Carport",YES,,PRIVATE,4154490,NO,YES,NO,437  GLEN PARK AVE ,YES,FREE,08,DOUBLE PANE,1962.0,2017.0
5846,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,20,NO,Ground Level Garage,NO,3 WAY INVESTMENTS LTD.,PRIVATE,4154493,NO,YES,NO,1049  LAWRENCE AVE W,NO,FREE,08,DOUBLE PANE,1967.0,2017.0
5847,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,70,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154861,NO,YES,NO,18  TINDER CRES ,YES,FREE,16,DOUBLE PANE,1955.0,2017.0
5848,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,1.0,4,52,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154867,NO,YES,NO,3  BIGGIN CRT ,YES,FREE,16,DOUBLE PANE,1955.0,2017.0
5849,INDIVIDUAL UNITS,,YES,YES,Not Available,YES,Unknown,YES,NO,HOT WATER,NO,NO,NO,YES,YES,61.0,53.0,1.0,5,61,NO,"Ground Level Garage , Surface Parking",YES,CACHET PROPERTY MANAGEMENT,PRIVATE,4154869,NO,YES,NO,3  SWIFT DR ,NO,UNAVAILABLE,16,DOUBLE PANE,1960.0,2017.0
5850,NONE,Child play area,YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,137.0,2.0,3.0,10,137,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155392,NO,YES,NO,2  TRIBURNHAM PL ,YES,FREE,02,DOUBLE PANE,1964.0,2017.0
5851,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,5,24,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155395,NO,YES,NO,500  THE WEST MALL  ,YES,FREE,02,DOUBLE PANE,1969.0,2018.0
5852,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,2.0,11,81,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4155413,NO,YES,NO,186  KINGSVIEW BLVD ,YES,FREE,01,DOUBLE PANE,1965.0,2017.0
5853,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,45,NO,Surface Parking,NO,,PRIVATE,4155425,NO,YES,NO,5  JANSUSIE RD ,YES,FREE,01,DOUBLE PANE,1967.0,2017.0
5854,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area , Sauna",YES,YES,0 indoor parking spots and 15 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,20.0,3.0,16,194,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,R.A.B. PROPERTIES LIMITED,PRIVATE,4155778,NO,YES,NO,775  STEELES AVE W,YES,FREE,18,DOUBLE PANE,1966.0,2017.0
5855,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,23,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4156367,NO,NO,NO,4  GREENBROOK DR ,NO,FREE,05,DOUBLE PANE,1954.0,2017.0
5856,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0.0,0.0,0.0,3,15,NO,,YES,1034523 ONTARIO LTD,PRIVATE,4156385,NO,YES,NO,1481  KINGSTON RD ,YES,PAID,20,DOUBLE PANE,1940.0,2017.0
5857,NONE,,YES,NO,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,11,117,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153017,NO,NO,NO,21  MAYNARD AVE ,YES,FREE,04,DOUBLE PANE,1964.0,2017.0
5858,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,11,86,YES,"Underground Garage , Surface Parking",YES,PINEDALE PROPERTIES LTD,PRIVATE,4153018,NO,YES,NO,170  JAMESON AVE ,YES,FREE,04,DOUBLE PANE,1960.0,2017.0
5859,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,8,72,NO,"Underground Garage , Garage accessible thru buildg",YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153033,NO,NO,NO,169  JAMESON AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1957.0,2017.0
5860,NONE,Indoor recreation room,NO,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,6.0,2.0,10,82,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4153478,NO,NO,NO,330  JARVIS ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1995.0,2017.0
5861,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,45,NO,Surface Parking,YES,LIVING PROPERTIES INC.,PRIVATE,4153492,NO,NO,NO,58  MAITLAND ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1928.0,2017.0
5862,NONE,,NO,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,30,NO,,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153496,NO,YES,NO,77  WELLESLEY ST E,YES,UNAVAILABLE,13,DOUBLE PANE,1926.0,2017.0
5863,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,109,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,,PRIVATE,4154011,NO,YES,NO,118  MONTGOMERY AVE ,YES,FREE,08,DOUBLE PANE,1952.0,2017.0
5864,NONE,,YES,NO,40 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,4.0,12,272,YES,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4154025,NO,YES,NO,3000  YONGE ST ,YES,UNAVAILABLE,08,DOUBLE PANE,1955.0,2017.0
5865,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,NO,YES,0.0,9.0,0.0,3,11,YES,"Ground Level Garage , Surface Parking",YES,ALLCARE HOLDINGS LIMITED,PRIVATE,4154507,NO,YES,NO,24  WASDALE CRES ,NO,UNAVAILABLE,08,DOUBLE PANE,1950.0,2017.0
5866,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,11.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154530,NO,YES,NO,82  NEPTUNE DR ,NO,UNAVAILABLE,08,DOUBLE PANE,1969.0,2017.0
5867,NONE,Sauna,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,YES,"Ground Level Garage , Surface Parking",NO,FALCONWIN PROPERTY MNG,PRIVATE,4154535,NO,YES,NO,112  RAJAH ST ,NO,UNAVAILABLE,08,DOUBLE PANE,1957.0,2017.0
5868,NONE,Indoor recreation room,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,YES,Surface Parking,NO,FALCONWIN PROPERTY MNG,PRIVATE,4154537,NO,YES,NO,108  RAJAH ST ,NO,UNAVAILABLE,08,DOUBLE PANE,1957.0,2017.0
5869,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,6.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154542,NO,YES,NO,63  WASDALE CRES ,NO,UNAVAILABLE,08,DOUBLE PANE,1950.0,2018.0
5870,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,20.0,0.0,3,28,YES,,YES,2347756 ONTARIO INC,PRIVATE,4154543,NO,YES,NO,47  WASDALE CRES ,NO,UNAVAILABLE,08,DOUBLE PANE,1950.0,2017.0
5871,NONE,"Outdoor rec facilities , Child play area",YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,60,YES,"Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,AKELIUS CANADA LTD,PRIVATE,4154890,NO,YES,NO,55  ECCLESTON DR ,YES,UNAVAILABLE,16,DOUBLE PANE,1960.0,2017.0
5872,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,7,87,NO,Surface Parking,YES,,PRIVATE,4154908,NO,YES,NO,57  PARKWOODS VILLAGE DR ,YES,FREE,16,DOUBLE PANE,1965.0,2017.0
5873,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,2.0,7,81,NO,"Underground Garage , Ground Level Garage",YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4154911,NO,YES,NO,111  COMBERMERE DR ,YES,FREE,16,DOUBLE PANE,1963.0,2017.0
5874,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,40.0,1.0,4,38,NO,Surface Parking,YES,VALLEY  YORK  MANOR,PRIVATE,4154924,NO,NO,NO,1230  YORK MILLS RD ,YES,UNAVAILABLE,16,DOUBLE PANE,1963.0,2017.0
5875,NONE,Indoor recreation room,NO,YES,Not Available,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,YES,0.0,1.0,2.0,11,194,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4155446,NO,NO,NO,2314  ISLINGTON AVE ,YES,FREE,01,DOUBLE PANE,1977.0,2017.0
5876,NONE,,YES,NO,0 indoor parking spots and 20 outdoor parking spots,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,13,153,YES,"Underground Garage , Ground Level Garage , Surface Parking",NO,,PRIVATE,4155447,NO,NO,NO,2435  KIPLING AVE ,YES,FREE,01,DOUBLE PANE,1965.0,2018.0
5877,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,12,92,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155461,NO,NO,NO,1865  MARTIN GROVE RD ,YES,FREE,01,DOUBLE PANE,1960.0,2017.0
5878,NONE,,YES,NO,0 indoor parking spots and 25 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,3.0,2.0,16,142,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport",YES,WESTMALL INVESTMENTS,PRIVATE,4155825,NO,YES,NO,24  EVA RD ,YES,PAID,02,SINGLE PANE,1971.0,2017.0
5879,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,16,YES,"Ground Level Garage , Surface Parking",NO,EXCEL PROPERTY MANAGEMENT,PRIVATE,4155843,NO,YES,NO,3214  ST CLAIR AVE E,YES,FREE,20,SINGLE PANE,1952.0,2017.0
5880,NONE,"Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,2.0,1.0,2.0,6,84,NO,"Underground Garage , Garage accessible thru buildg",NO,,PRIVATE,4155850,NO,YES,NO,3810  BATHURST ST ,YES,FREE,06,DOUBLE PANE,2005.0,2017.0
5881,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,10.0,3.0,27,214,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CONTINUUM REIT SUB GP INC,PRIVATE,4155992,NO,YES,NO,2450  WESTON RD ,YES,FREE,05,DOUBLE PANE,1972.0,2017.0
5882,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,7,130,YES,Surface Parking,YES,PINEDALE PROPERTIES LTD,PRIVATE,4155995,NO,YES,NO,27  BERGAMOT AVE ,YES,PAID,01,DOUBLE PANE,1960.0,2017.0
5883,,,NO,YES, indoor parking spots and  outdoor parking spots,YES,Green Bin / Organics,YES,,,NO,,,YES,NO,23.0,,0.0,3,23,YES,,YES,,PRIVATE,4156014,,,,1  GREENBROOK DR ,NO,,05,SINGLE PANE,1950.0,2018.0
5884,NONE,Child play area,YES,YES,0 indoor parking spots and 25 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,20,146,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4156386,NO,NO,NO,15  BROOKBANKS DR ,YES,FREE,16,DOUBLE PANE,1967.0,2017.0
5885,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,1.0,3.0,17,216,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4156727,NO,YES,NO,100  PARKWAY FOREST DR ,YES,FREE,17,DOUBLE PANE,1967.0,2017.0
5886,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,0.0,4,29,NO,Surface Parking,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152632,NO,NO,NO,32  CRAIGTON DR ,YES,FREE,21,DOUBLE PANE,1955.0,2017.0
5887,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,1.0,5,21,YES,Surface Parking,NO,,PRIVATE,4153046,NO,NO,NO,83  INDIAN RD ,NO,UNAVAILABLE,04,SINGLE PANE,1960.0,2017.0
5888,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room",NO,YES,40 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,2.0,3.0,32,147,YES,"Underground Garage , Garage accessible thru buildg",YES,AZURIA GROUP INCORPORATED,PRIVATE,4153517,NO,YES,NO,55  CHARLES ST W,YES,PAID,11,DOUBLE PANE,1981.0,2017.0
5889,NONE,Indoor recreation room,YES,YES,0 indoor parking spots and 7 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,0.0,0.0,1.0,4,22,NO,,YES,HOMES FIRST SOCIETY,SOCIAL HOUSING,4153524,NO,NO,NO,50  EARL ST ,YES,UNAVAILABLE,13,DOUBLE PANE,1993.0,2017.0
5890,NONE,,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,NO,0.0,0.0,2.0,12,82,YES,"Underground Garage , Surface Parking",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4153532,NO,NO,NO,55  ISABELLA ST ,YES,BOTH,13,DOUBLE PANE,1965.0,2017.0
5891,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,101.0,5.0,2.0,14,101,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4153533,NO,YES,NO,59  ISABELLA ST ,YES,PAID,13,DOUBLE PANE,1963.0,2017.0
